islet_id,imageid,donor_status
6549_Islet_143,6549,Aab+
6505_Islet_262,6505,Aab+
112_Islet_401,112,ND
6534_Islet_91,6534,T1D
6516_Islet_279,6516,ND
6479_Islet_94,6479,ND
6450_Islet_170,6450,Aab+
112_Islet_3,112,ND
6505_Islet_418,6505,Aab+
6538_Islet_191,6538,Aab+
6551_Islet_23,6551,T1D
6550_Islet_2,6550,T1D
112_Islet_48,112,ND
6521_Islet_22,6521,Aab+
6549_Islet_226,6549,Aab+
6356_Islet_950,6356,ND
6549_Islet_116,6549,Aab+
6534_Islet_208,6534,T1D
112_Islet_484,112,ND
6356_Islet_528,6356,ND
6479_Islet_241,6479,ND
6505_Islet_52,6505,Aab+
6450_Islet_179,6450,Aab+
6534_Islet_204,6534,T1D
112_Islet_214,112,ND
6479_Islet_168,6479,ND
6505_Islet_146,6505,Aab+
6479_Islet_119,6479,ND
6549_Islet_379,6549,Aab+
6356_Islet_970,6356,ND
6516_Islet_200,6516,ND
6356_Islet_964,6356,ND
112_Islet_322,112,ND
112_Islet_164,112,ND
6516_Islet_98,6516,ND
6550_Islet_77,6550,T1D
112_Islet_32,112,ND
6521_Islet_122,6521,Aab+
6538_Islet_104,6538,Aab+
6521_Islet_20,6521,Aab+
6450_Islet_192,6450,Aab+
112_Islet_190,112,ND
112_Islet_462,112,ND
6551_Islet_186,6551,T1D
6521_Islet_48,6521,Aab+
6516_Islet_7,6516,ND
6551_Islet_155,6551,T1D
112_Islet_434,112,ND
112_Islet_152,112,ND
6549_Islet_329,6549,Aab+
112_Islet_479,112,ND
6551_Islet_397,6551,T1D
6551_Islet_372,6551,T1D
6516_Islet_20,6516,ND
112_Islet_450,112,ND
6534_Islet_195,6534,T1D
6563_Islet_67,6563,T1D
112_Islet_102,112,ND
6356_Islet_575,6356,ND
6563_Islet_199,6563,T1D
6534_Islet_100,6534,T1D
6521_Islet_146,6521,Aab+
112_Islet_362,112,ND
6534_Islet_1,6534,T1D
6534_Islet_257,6534,T1D
112_Islet_126,112,ND
112_Islet_416,112,ND
6549_Islet_11,6549,Aab+
6505_Islet_121,6505,Aab+
6505_Islet_194,6505,Aab+
6549_Islet_235,6549,Aab+
6505_Islet_350,6505,Aab+
6549_Islet_151,6549,Aab+
6516_Islet_280,6516,ND
6516_Islet_45,6516,ND
6538_Islet_106,6538,Aab+
112_Islet_397,112,ND
6534_Islet_104,6534,T1D
6549_Islet_63,6549,Aab+
6538_Islet_213,6538,Aab+
6356_Islet_100,6356,ND
6548_Islet_36,6548,ND
6549_Islet_10,6549,Aab+
6479_Islet_172,6479,ND
6521_Islet_129,6521,Aab+
6356_Islet_153,6356,ND
6516_Islet_286,6516,ND
6534_Islet_255,6534,T1D
112_Islet_8,112,ND
6534_Islet_192,6534,T1D
6356_Islet_633,6356,ND
6505_Islet_333,6505,Aab+
112_Islet_6,112,ND
6356_Islet_9,6356,ND
6550_Islet_34,6550,T1D
6356_Islet_193,6356,ND
112_Islet_473,112,ND
6548_Islet_100,6548,ND
6356_Islet_294,6356,ND
112_Islet_110,112,ND
6550_Islet_135,6550,T1D
6516_Islet_296,6516,ND
6538_Islet_190,6538,Aab+
6534_Islet_171,6534,T1D
6505_Islet_286,6505,Aab+
6356_Islet_83,6356,ND
6356_Islet_300,6356,ND
6551_Islet_88,6551,T1D
6516_Islet_163,6516,ND
6505_Islet_326,6505,Aab+
6534_Islet_116,6534,T1D
6356_Islet_518,6356,ND
6356_Islet_593,6356,ND
6505_Islet_133,6505,Aab+
112_Islet_575,112,ND
6356_Islet_261,6356,ND
6549_Islet_421,6549,Aab+
6549_Islet_327,6549,Aab+
6356_Islet_548,6356,ND
6516_Islet_62,6516,ND
6505_Islet_369,6505,Aab+
6505_Islet_58,6505,Aab+
6505_Islet_293,6505,Aab+
112_Islet_109,112,ND
6534_Islet_265,6534,T1D
6356_Islet_584,6356,ND
6356_Islet_397,6356,ND
6550_Islet_65,6550,T1D
6479_Islet_160,6479,ND
6521_Islet_74,6521,Aab+
6479_Islet_259,6479,ND
6549_Islet_192,6549,Aab+
6356_Islet_530,6356,ND
112_Islet_247,112,ND
112_Islet_55,112,ND
6505_Islet_6,6505,Aab+
6548_Islet_95,6548,ND
6563_Islet_117,6563,T1D
112_Islet_583,112,ND
6534_Islet_154,6534,T1D
112_Islet_240,112,ND
6549_Islet_369,6549,Aab+
6538_Islet_28,6538,Aab+
6521_Islet_39,6521,Aab+
6538_Islet_31,6538,Aab+
